"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-770960","Li3TiV3O8","R3m","-2.673","0.032","1.581","","15","3.786","153.293","true","trigonal",""
"mp-762546","Li4Ti2V3O10","P1","-2.746","0.035","0.630","","38","3.826","378.699","true","triclinic",""
"mp-769874","Li2TiVO4","I4m2","-2.739","0.036","0.000","","8","3.958","74.131","true","tetragonal",""
"mp-771549","Li2Ti3VO8","P63mc","-3.087","0.037","0.257","","28","3.716","300.662","true","hexagonal",""
"mp-775345","LiTi2VO6","P21/c","-3.076","0.04","1.791","","40","3.396","488.218","true","monoclinic",""
"mp-763639","Li3Ti2V3O10","P1","-2.804","0.043","1.647","","18","3.744","190.445","true","triclinic",""
"mp-763708","Li2TiV2O6","C2/m","-2.742","0.043","1.273","","11","3.74","115.271","true","monoclinic",""
"mp-764015","Li4Ti3VO8","R3m","-2.871","0.044","0.000","","16","3.859","150.729","true","trigonal",""
"mp-765678","Li3TiV3O8","P63mc","-2.658","0.048","1.509","","30","3.962","293.002","true","hexagonal",""
"mp-773465","Li4TiV3O10","P4m2","-2.636","0.049","1.239","","18","3.109","207.473","true","tetragonal",""
"mp-775104","Li3TiV4O8","C2/m","-2.486","0.051","0.000","","16","4.205","158.132","true","monoclinic",""
"mp-769573","LiTiVO4","P1","-2.888","0.056","1.475","","21","3.623","233.377","true","triclinic",""
"mp-763577","Li3Ti2V2O8","C2/m","-2.803","0.057","0.000","","15","3.776","152.35","true","monoclinic",""
"mp-763632","Li4Ti3V3O12","P1","-2.834","0.057","0.000","","22","3.748","228.708","false","triclinic",""
"mp-763679","Li2Ti2VO6","P1","-2.937","0.059","0.278","","33","3.699","345.495","false","triclinic",""
"mp-762821","Li3Ti3VO8","C2/m","-2.952","0.06","0.000","","15","3.737","152.581","true","monoclinic",""
"mp-763712","LiTi2VO6","C2/m","-3.056","0.061","1.565","","10","3.667","113.018","true","monoclinic",""
"mp-763671","Li2Ti2V3O10","P1","-2.813","0.062","0.590","","17","3.675","190.881","true","triclinic",""
"mp-767168","Li3TiV3O8","Cm","-2.637","0.068","0.929","","15","3.629","159.916","true","monoclinic",""
"mp-776619","Li2TiV3O8","Cm","-2.667","0.069","0.609","","14","3.664","155.238","true","monoclinic",""
"mp-771609","LiTiV3O10","C2","-2.548","0.07","1.776","","15","2.981","204.793","true","monoclinic",""
"mp-774083","Li2Ti2VO6","Cmce","-2.923","0.074","1.069","","22","3.512","242.582","true","orthorhombic",""
